judul,url,sumber,tanggal,ringkasan,keyword,metode_scraping,konten
"Pernyataan Menohok Mike Tyson Untuk Floyd Mayweather Jr, Tolak Klaim The Money Jadi Petinju Terhebat Sepanjang Sejarah - tvOneNews",https://news.google.com/rss/articles/CBMi_gFBVV95cUxQV1RCenBhVnZOYWJoclgxMnVvaUdER21tY3NDd3h5b1VCb3RCWjBQMUVKcTFzQUR0ZkFmUHlJblBRRG1obE9GZzBvZzUyOGI0Nm1nS2FnT08wZmpXd2hxamJvaHdvNkpsMGZBcDBMcEhMYllpd3FrOWlqTENLNzFTb1BlMzVaMnppeE1qLVdNRE1XNm1hYkh2dlUxUGgtbWpoSWpSbVdlTHRPLXNzY2VFUzlVX1BOYjkzQlNKM096ZzNGQ1R4dzQ1WEQ4UGQtOWQyUUhpWlppc09lQnhxUFRBRnMydkVfc0ZLZzJtZ0lsdHczdjJWWWtzZUVUMkJhZ9IB_gFBVV95cUxQV1RCenBhVnZOYWJoclgxMnVvaUdER21tY3NDd3h5b1VCb3RCWjBQMUVKcTFzQUR0ZkFmUHlJblBRRG1obE9GZzBvZzUyOGI0Nm1nS2FnT08wZmpXd2hxamJvaHdvNkpsMGZBcDBMcEhMYllpd3FrOWlqTENLNzFTb1BlMzVaMnppeE1qLVdNRE1XNm1hYkh2dlUxUGgtbWpoSWpSbVdlTHRPLXNzY2VFUzlVX1BOYjkzQlNKM096ZzNGQ1R4dzQ1WEQ4UGQtOWQyUUhpWlppc09lQnhxUFRBRnMydkVfc0ZLZzJtZ0lsdHczdjJWWWtzZUVUMkJhZw?oc=5,tvOneNews,2026-02-23 06:54:00,"Pernyataan Menohok Mike Tyson Untuk Floyd Mayweather Jr, Tolak Klaim The Money Jadi Petinju Terhebat Sepanjang Sejarah&nbsp;&nbsp;tvOneNews",sejarah padel,google_news_7d,"Pernyataan Menohok Mike Tyson Untuk Floyd Mayweather Jr, Tolak Klaim The Money Jadi Petinju Terhebat Sepanjang Sejarah&nbsp;&nbsp;tvOneNews"
Polres Kediri Gelar Pembinaan Jati Diri Bangsa di Situs Bersejarah - HarianBasis.co,https://news.google.com/rss/articles/CBMib0FVX3lxTE8yMEdIT2JfSS1hR09CSnctNXhIQ0tOV3ZnVExwcGdGOEpwd3hoT29aMXRpNHh6RlZHdGx0SnhNTVRsSy1YYVRkRUVjVHV5aHhkYW9UM2RUaGF4cTFkNUVRaGdOZFN4ZVh2WmVVRnl1OA?oc=5,HarianBasis.co,2026-02-22 10:50:07,Polres Kediri Gelar Pembinaan Jati Diri Bangsa di Situs Bersejarah&nbsp;&nbsp;HarianBasis.co,sejarah padel,google_news_7d,Polres Kediri Gelar Pembinaan Jati Diri Bangsa di Situs Bersejarah&nbsp;&nbsp;HarianBasis.co
"Sikapi Keluhan Warga Soal Kebisingan Lapangan Padel, Gubernur Pramono Gelar Rapat Khusus Bersama Dinas Terkait Hari Ini - Akurat Jakarta - Akurat Jakarta",https://news.google.com/rss/articles/CBMigAJBVV95cUxPamg0TjZTTkIweDVwQzNoeGhNLUxjS3JQU3Z4OHluQlpXRWFvc1pxeE1oS1l3SGRReXhYNXgyYTlzeGUxZWV5OENqNTNycm4ySGRLZnFrVjFCeXdSMzhuQlBxbHg3ZWFCME01eURTYmFLYXJyb2lSTmZ4LWdjckk1b054WGsyeGxpVUhjWndPVVZoTTR6ai0zM19Va0NOQWdnbTRZNTdVZGcwUE5DdUVLVzdiWnJNN3ZCTkNRQ1JhZWhXdndSSndpcWdLVFo1bVdyVzQ3MzBSazdUenAwUzRXeVpmUk1xcVFjRWZ4VG5uNnN5R0gyQm9heXU5TXRVRFdT0gGAAkFVX3lxTE9qaDRONlNOQjB4NXBDM2h4aE0tTGNLclBTdng4eW5CWldFYW9zWnF4TWhLWXdIZFF5eFg1eDJhOXN4ZTFlZXk4Q2o1M3JybjJIZEtmcWtWMUJ5d1IzOG5CUHFseDdlYUIwTTV5RFNiYUthcnJvaVJOZngtZ2NySTVvTnhYazJ4bGlVSGNad09VVmhNNHpqLTMzX1VrQ05BZ2dtNFk1N1VkZzBQTkN1RUtXN2Jack03dkJOQ1FDUmFlaFd2d1JKd2lxZ0tUWjVtV3JXNDczMFJrN1R6cDBTNFd5WmZSTXFxUWNFZnhUbm42c3lHSDJCb2F5dTlNdFVEV1M?oc=5,Akurat Jakarta,2026-02-24 01:36:00,"Sikapi Keluhan Warga Soal Kebisingan Lapangan Padel, Gubernur Pramono Gelar Rapat Khusus Bersama Dinas Terkait Hari Ini - Akurat Jakarta&nbsp;&nbsp;Akurat Jakarta",sejarah padel,google_news_7d,"Sikapi Keluhan Warga Soal Kebisingan Lapangan Padel, Gubernur Pramono Gelar Rapat Khusus Bersama Dinas Terkait Hari Ini - Akurat Jakarta&nbsp;&nbsp;Akurat Jakarta"
"Gubernur Pramono Perketat Pembangunan Lapangan Padel di Jakarta, Ini Poin-poin Pentingnya! - Akurat Jakarta - Akurat Jakarta",https://news.google.com/rss/articles/CBMi0wFBVV95cUxOMkVHSWZxeVpDOC02ZUVZUU40MmhfLW9wdTVHOTI2dnRvMnBoY25TWEJrcGhNZHR3cHdneUpjQmJ1SmRLM2NFN25tbXhRaHhYVEdsOFpMeWY2WDhJTHZkTzUtUV9ieEszaUZsRmJfZllaV2FrXzdvN1A2Qml2ejQ5MzExTjBodnc1c3R0WU9maXJqUkFiNzFlTm5KbmVROGM5QTJ0NzVXc0FwOHV1NlJTdkloWG1fUXlRaXQtLWtvZ1JqMTI3V1Z2dkgyUl9aZHZReG1V0gHYAUFVX3lxTFBaU0RneU5sdXE0Y0s2eEk3SEd2R29EOFhpSGRXVmpmdS1YMWJrTzdxUlJwTE8wNGZJcmRJSWxDb3BBRTNKQXg0WVU0c1hDX3YwanJfeklacWVqQVB5Rk1VNklndy03M1d6YVBjYUl6V2EtZGJFNDNNVEQ4dVB5d240SG5hS1FBeEplcEVPTXBuYXJiODJmaDVVWm5RN2FPMDAwY28wcFVUZWp6R1FfV0duazFrdjBHa192OVQ4UjhlUmpBTVdwRE9GWmRSMFlnRWhOTmxfN1dheA?oc=5,Akurat Jakarta,2026-02-24 07:49:47,"Gubernur Pramono Perketat Pembangunan Lapangan Padel di Jakarta, Ini Poin-poin Pentingnya! - Akurat Jakarta&nbsp;&nbsp;Akurat Jakarta",sejarah padel,google_news_7d,"Gubernur Pramono Perketat Pembangunan Lapangan Padel di Jakarta, Ini Poin-poin Pentingnya! - Akurat Jakarta&nbsp;&nbsp;Akurat Jakarta"
"Kerap Dikeluhkan Bising, Pemprov DKI Bakal Evaluasi Izin Seluruh Lapangan Padel di Jakarta - Poskota - Poskota",https://news.google.com/rss/articles/CBMixAFBVV95cUxQS3RkMm5IS2FLbWZFamRadVg1RS1JZHRoVEtzOGRCcGxlbnlxdElQV2dHc1M0Vk9fTzNJTFpWRjRQNXhrbmFDempFYTVfS1hDQ0FvWkY3MktSOVFVT3VMUXV2TGxreTZISVlXN2prMkI0aGF4Qk5waTBnczhrNnUyeXplYXZ6V1V4MVpnYUYyTEVrR2xOV2FGNXVYdmZWcHd5V2lfanlwSjdBZFhwWG5VanI1STYzNk14cURRcXMzbHNMOUNH0gHKAUFVX3lxTFBodDVtMk03d1lnVFpxb2N4T01kYklKc1dpM2tPcUNTa0tiTnpXc050d1dtOHRCdFBwZkhNX0hsdno0dkpvVDZ6ZGZuaHp3ZnRjN0xKd19GdTRGYklXRkNFRXd6VjVVWWxvblk2OVJfOWdrYjVpVWZEMTJrY0tyTjJJMkFlLURPXzExcWNBczhzQk1XdFVJZTNyWk9EOHYyaVI1bEotWlVwSEtNc3hubFQ5SElKN0JSSzQyeUllMWFnN25YU2VPbDNiUnc?oc=5,Poskota,2026-02-22 14:23:53,"Kerap Dikeluhkan Bising, Pemprov DKI Bakal Evaluasi Izin Seluruh Lapangan Padel di Jakarta - Poskota&nbsp;&nbsp;Poskota",sejarah padel,google_news_7d,"Kerap Dikeluhkan Bising, Pemprov DKI Bakal Evaluasi Izin Seluruh Lapangan Padel di Jakarta - Poskota&nbsp;&nbsp;Poskota"
"Gubernur Pramono Perintahkan Dinas Citata Selidiki Izin 397 Lapangan Padel di Jakarta, Tak Punya PBG Akan Dikenakan Sanksi Tegas - Akurat Jakarta - Akurat Jakarta",https://news.google.com/rss/articles/CBMihwJBVV95cUxPNmxoWlQwMEVEV2dIYlJ1bGRfQndqaWhkZnZzXy11NjZVQ3V0bHdtMV9OcU9qLVdJbl9wTzZKeHRHNEVDeThMUUhtdDNPWV9JMWxMVUhjWTBiOFJ0dE5kcm5KOTZPWF9jbi1lcE11dFVaVjljM0xRcUZ3X1gyM21ScDlxQjFXNm5xclV3YjAwYW9yZTBWb0tFQXpuanhJNjl5NDZBbWNWeXFpU1hHY1BJTE5VRmZ4ZGhTcU9oNDktcmxQSERaSTk4bjh5TkZxUnlSeGlPVTVXcU4xUzItV1ZicUsyeVViQXlhMlRkQnVFMVl2RUhxZElRdk4xck1udGw2Y2QtcGdBWdIBjAJBVV95cUxNcVRjanRDVFRQUzU1THVWNEVSLWRIWm5mdEEyU0ZqWFdWRVh3NTJzdEwxVEp6a210dVJlOXU5MTVFVTRhNmJTMEZNT3RjNXZaMDVPVU52YW9JQnJFdnBjSGRWV3pDSlVnajhnMXFiMUczZ21aSUJOUmg3dk1iQXFleFRxQ2xjUGFDQzN5N3RQdjVfNmdNUlFsckxkLTYyRGFCZ2dJNEV5Vm5PcHBkbGVORERNRkh5ZlFQQnlUM0ZEcVFFSUVkbVBtazJqSmVzV240a3hIZ0d4Mjh2X3BVcTFuSXoxWWhMcWhQWUZYamF0NmItWW5wcDQ3SFNfMzFBRjVGSWFMdVQwakJEUHJk?oc=5,Akurat Jakarta,2026-02-24 09:08:51,"Gubernur Pramono Perintahkan Dinas Citata Selidiki Izin 397 Lapangan Padel di Jakarta, Tak Punya PBG Akan Dikenakan Sanksi Tegas - Akurat Jakarta&nbsp;&nbsp;Akurat Jakarta",sejarah padel,google_news_7d,"Gubernur Pramono Perintahkan Dinas Citata Selidiki Izin 397 Lapangan Padel di Jakarta, Tak Punya PBG Akan Dikenakan Sanksi Tegas - Akurat Jakarta&nbsp;&nbsp;Akurat Jakarta"
Jakarta Hujan Lagi ? Cek Prakiraan Cuaca BMKG Hari Ini 23 Februari 2026 - Poskota - Poskota,https://news.google.com/rss/articles/CBMiqgFBVV95cUxQMGFycWFBbXFpTU5NQUxxcFlpSnBCNUlJTjdsX0ZqSk44MjNraUlKc0xyQ1pQN0phSzdwNEFTTHZKeTZCMFl6cFdIWTR2UHpIZjVLVVBwY1daamhVV2FjRXMxLVYyeU5vbVVHTHpaaUQyOUZnNVVlNTRDSjhNc0tpXzlzSUxLOUJxc1Q0Tk4wWG15R2lEbF90aXpOUEprSXEyZ0JDY19OdjhSd9IBrwFBVV95cUxNN0RnWTZXRTVMOTNQeWFOZ3IzbVdBZ3FOaGxnZHZEcnJxblBqMWxMUTFpU2szQnRfamJwTnRYTTJVUzJZTTNlMlkwMGRScXR5Q0E5MUY0d0EzVk44TEN6WHFFSWJ5a3VhZTJLNFMyeWdVZkZEUG1FaU1OaWhUbzlkc0ZLN2dlNll6NDNPcXhMT0FyMVZhTWdKUFhPZDFreTRVcG1WaW55RkdwdU1CZy0w?oc=5,Poskota,2026-02-22 20:49:47,Jakarta Hujan Lagi ? Cek Prakiraan Cuaca BMKG Hari Ini 23 Februari 2026 - Poskota&nbsp;&nbsp;Poskota,sejarah padel,google_news_7d,Jakarta Hujan Lagi ? Cek Prakiraan Cuaca BMKG Hari Ini 23 Februari 2026 - Poskota&nbsp;&nbsp;Poskota
Ini Rahasia Aldi Satya Mahendra Cetak Sejarah di WorldSSP 2026 Australia - disway.id - Disway,https://news.google.com/rss/articles/CBMiowFBVV95cUxQUGNGbHZnOWxvY0JQMHBNX1l5RU04TWNrLVZnX2FxYXhRRDdyTkZTZGpJRGRqd0xGRjRMNUU3X1VVZlBjNldWcTczaml4ZGMxVVhtTDFWQVVub0hFZ2RHczMxdTBpc29XTmd2aXFhZEFsTUU4SkNlQ1g2dDRBTzB4Vk1yUWh3aEt5MExqTGF4NTQ4cGs4QUEzNUtBOE1xVmE1b0Fr0gGjAUFVX3lxTFBQY0Zsdmc5bG9jQlAwcE1fWXlFTThNY2stVmdfYXFheFFEN3JORlNkaklEZGp3TEZGNEw1RTdfVVVmUGM2V1ZxNzNqaXhkYzFVWG1MMVZBVW5vSEVnZEdzMzF1MGlzb1dOZ3ZpcWFkQWxNRThKQ2VDWDZ0NEFPMHhWTXJRaHdoS3kwTGpMYXg1NDhwazhBQTM1S0E4TXFWYTVvQWs?oc=5,Disway,2026-02-24 06:22:00,Ini Rahasia Aldi Satya Mahendra Cetak Sejarah di WorldSSP 2026 Australia - disway.id&nbsp;&nbsp;Disway,sejarah padel,google_news_7d,Ini Rahasia Aldi Satya Mahendra Cetak Sejarah di WorldSSP 2026 Australia - disway.id&nbsp;&nbsp;Disway
Stella Hemetsberger Raih Gelar Juara Dunia Kickboxing ONE - Berita Jejak Fakta,https://news.google.com/rss/articles/CBMihAFBVV95cUxQNmV0OTF6bU5BSm13S2RRcVdaZ2Y0Q0k5dnA5R0FMYnhuTGFXZ0Y0UkFVcGdxTUdmQ2JZaUNBaTVNaDdPU1ZLekl4RExFQVJVT2xyUUJUYlA1S0xlNmVDdzNvMl9lY09yaDAzZnVlVUU2emItbnliV2xUN0k1MVpmRTU2eFo?oc=5,Berita Jejak Fakta,2026-02-24 23:59:00,Stella Hemetsberger Raih Gelar Juara Dunia Kickboxing ONE&nbsp;&nbsp;Berita Jejak Fakta,sejarah padel,google_news_7d,Stella Hemetsberger Raih Gelar Juara Dunia Kickboxing ONE&nbsp;&nbsp;Berita Jejak Fakta
"Perumda Jasa Yasa Gandeng Pemkot Batu, Kawasan Songgoriti Bakal Dilengkapi Lapangan Padel hingga Resto Representatif - Malangtimes",https://news.google.com/rss/articles/CBMigAJBVV95cUxQVjJTaVp1b2lUbzNacDdWeUVZTEFxd2ZlaG5ETllUOHZHdFUxSFp6NnVkdnJyVUhzZFNWTlFKSExwcU1qMUpKa1I2QTJvNk5nb0N2TkxYeVY2cmhiLXJrLU1RWjZJa20wT0lVVTVHYmNvTVFadHhJN25IN3FsenEtYWJRa0NoUG5NczhjRHZpcFlxczhlRDl3d0ZYOGhSbmVYRldRTWtJM2FSRkpqTldxWmRrZktMWVZLVjVQcUY0SlZ6b1V0Sy1BeFdfZlZWS2RXQXlxNmhneXgwTFRIN1BUc1VDM0Jyb1NOeUxqaXd4Wnc0RTExc0loMml4RG1BMGRG0gGGAkFVX3lxTE80dGUtcl8xSk5EVURoU0J0UWkyWlYxdFpOWml4NVBMa0JLZHU5RnpnWVlLZndLNWJ4elVJQ091RGNJc3dwdTZ1OXhIbl8wT3g3cHFoc1BzbWJJYmlsQ0ZFYkMxS192NEI2elo1VzdxZFgxWndqODlDZUV3Y1h5NEl3WkwwNkxsMGd5NlJneE1mTHVkcG5ReDc0dFd0U196VzRSNWNpTGphM21YMWROb2Q2TnBLVm5KWkt1WF8xOGotY0xlOE1ENklJcUhiZDRXWlpfY1pfbTBUNEp5LTAyTGFRUnJZam1LYW1tS09qdnRUSWFNS0dwcV9fbE9oWmotbFNlNmZFX3c?oc=5,Malangtimes,2026-02-20 05:28:00,"Perumda Jasa Yasa Gandeng Pemkot Batu, Kawasan Songgoriti Bakal Dilengkapi Lapangan Padel hingga Resto Representatif&nbsp;&nbsp;Malangtimes",padel sport,google_news_7d,"Perumda Jasa Yasa Gandeng Pemkot Batu, Kawasan Songgoriti Bakal Dilengkapi Lapangan Padel hingga Resto Representatif&nbsp;&nbsp;Malangtimes"
"Bukti Cowok Sporty dan Macho, Al Ghazali Suka Olahraga Mulai Padel Hingga Drift Mobil - KapanLagi.com",https://news.google.com/rss/articles/CBMi2gFBVV95cUxONkx0TUpGRXBkQlhaQ1J6TVJTQlJDN1FpWXlFQjhocW95SktUck1QZGdBbUdkSlItazlYZ1psMlpkUjZ6Wkd0RWFGUUpJZW5obVVOMjNYRWhlZ09TVjkzSjZCRlFUQlRiT21DNFotbUFsUHh1R2w5TU5rQnRJbXpWY0NnSDY5cW5mZEIxWm9FeEdSd3RiWERFUXFSdFFmdFBkWHcwcFN6TGdlcU16dmFObE1uOUhCbHpYN1FKZWlCc2xYYkJkM09xdFVnNmphZndqZE1RTVRKX1hnUdIB3wFBVV95cUxQZnBjRXZiZE1MSUhkeUF3dWFZUWlwN3FIN0pWSHo1THZvVHRkazZRNnk1X0c1ZmVXTWViUzJtWEFnOFdwa0g3UTd2YlRjdEo4Q3gtTW0yWDV5UFkzYlFfai1CUVd6ekEyZUdlZkxEVDNrWVRZNElpMVU2bXNQck5QUnhvdGowRjk1SmJhQ2Y4dEVMOUdwYmVPWV83d0llODYyVUZ2RFhJbEp0RXpDcHlGLU1HZHJ5YTdjNHhUdU9CUVZ0YkNfRWNsTk0xRlNoajF5M1A2TmJRd3VwX2dXT0FZ?oc=5,KapanLagi.com,2026-02-21 11:02:00,"Bukti Cowok Sporty dan Macho, Al Ghazali Suka Olahraga Mulai Padel Hingga Drift Mobil&nbsp;&nbsp;KapanLagi.com",padel sport,google_news_7d,"Bukti Cowok Sporty dan Macho, Al Ghazali Suka Olahraga Mulai Padel Hingga Drift Mobil&nbsp;&nbsp;KapanLagi.com"
"Warga Keluhkan Kebisingan, Pramono Anung akan Evaluasi Izin Lapangan Padel di Jakarta - republika.co.id",https://news.google.com/rss/articles/CBMizgFBVV95cUxQMFByNDl4czNUMFFiNHNKUUJoSXI3YmE3M29iQU5VbHcxR1BqVGN6amZyM3diTFhKaVEyV1JQdC1PUkJRdmo1MlozYnJLUHNkYi1Ca0xtYW1PeXFmSTZEaFdQNVVMcHBBbktma3dRTVVjQ01oWENxLWtYOU90bU4xbWRxRVlUY3RiOWgxb0sxUDQ5d0tjamtmUzYxa3RJT01TZEFFd2lTb2ZEVUhrRkRqRXZ5OTB3Um1hTkttMHJNLVQ0LVYtRmluaXh3MmExdw?oc=5,republika.co.id,2026-02-19 05:16:46,"Warga Keluhkan Kebisingan, Pramono Anung akan Evaluasi Izin Lapangan Padel di Jakarta&nbsp;&nbsp;republika.co.id",padel sport,google_news_7d,"Warga Keluhkan Kebisingan, Pramono Anung akan Evaluasi Izin Lapangan Padel di Jakarta&nbsp;&nbsp;republika.co.id"
"Luna Maya Konsisten Jalani Gaya Hidup Sehat Lewat Olahraga, Mulai Dari Padel Hingga Naik Gunung - KapanLagi.com",https://news.google.com/rss/articles/CBMi5wFBVV95cUxPdUk4OC03VERRS19BTE0zZDZxQXNrM2pHWnNERHdpMkhqUWZRc2oweVcxN1BLY0ZfUUp3S3JIaWo2RGV3YnhVQk5LaG8zdnRPNEZrbVpia29wLUdEXzloT2ZrVjBPdDk3MlA0X3Fuc1hGcjdFWnRSNktNQlphck5nSFdaaUFUU3U5emZCWlZzUDhldFJmeE9laVpfREdHLTNOZWhLLVVMWnBlOVZyVHVlcHFIQ0xDTGNIOFh5bzJnZEphb0d5R0xkR0xWeEdjdm9uS1Fkc0x1X0pwWGUteEVtT1MyTEk3Q1XSAewBQVVfeXFMTVk2ZXFJYTBEci15QnZpNDVEZjhoRkFhUTJ2ekhHNURHUjlmcGktSjZnNnkzb2ZEZDNKYXVZZElEa0Q1dV8tUE1pVmdkenoxcjRRek51RS1WaXE5amJWTW1FVnRiWE9sS3dremlDVlBsUE5tOVZMZ05uZFZZZV9NQWFqakV6RjlpeE5WZnhzTVYxSEdQTUJveFVySC05aU52c0VpM2ExRGZ2dDlaRDVUUGR3UFRWT1dPQlVjNnplX1BKNU1zbUw5R010cmhIbWxnYkRxRUlrb0UzVzhLaXYzdzJXNE0yVUo0Qk9NMFE?oc=5,KapanLagi.com,2026-02-22 08:09:00,"Luna Maya Konsisten Jalani Gaya Hidup Sehat Lewat Olahraga, Mulai Dari Padel Hingga Naik Gunung&nbsp;&nbsp;KapanLagi.com",padel sport,google_news_7d,"Luna Maya Konsisten Jalani Gaya Hidup Sehat Lewat Olahraga, Mulai Dari Padel Hingga Naik Gunung&nbsp;&nbsp;KapanLagi.com"
"Protes Warga Meluas, Jam Operasional Lapangan Padel Bakal Diatur - metapos.id",https://news.google.com/rss/articles/CBMikAFBVV95cUxOU2NmVU9MdTE0VlpneXpmaTFSOEZ5ck1xQ1RWS3hCcGJfdlpwb2wyMGtCOG5fNkJrakdPUmdna1V4dG5la2ZsQ0ZISTgtNmdLQl9MZEZ3LU5QRnZ0NGRjN1JOUGM5dUNxelE2dGpuaXRnQVhUaWZKVEdDRXdyTmtDcW5Bb09pQTVyd2FiX1JxTGM?oc=5,metapos.id,2026-02-24 04:25:20,"Protes Warga Meluas, Jam Operasional Lapangan Padel Bakal Diatur&nbsp;&nbsp;metapos.id",padel sport,google_news_7d,"Protes Warga Meluas, Jam Operasional Lapangan Padel Bakal Diatur&nbsp;&nbsp;metapos.id"
"Pemprov DKI Setop Izin Lapangan Padel di Kawasan Hunian, Operasional Diperketat - Gemapos.id - Gemapos",https://news.google.com/rss/articles/CBMiwwFBVV95cUxPVkZpTzRTaFJWbVNUWXVMV3VUYWVmeDhzNDJUVUxZX2hOdVJZcWtHb3otYnUyTmpCRDh3ei1VcUdmRUk5c1FVb2hXR2tOZ2k2V2tuZGtxQ3Z0dDdCbzg0Vk9JYWhERWwyUFhSNy1DaVdkdEdlbWl6anpmQ0RrRFJ0UmlKVS1rMjNCWF9fbmNkY21fTlIyLVhrcWNPc1FBdVhBZzN1ZkdHMTJBTHVlOWdDdHo0ODdqR0xDakdJa1VwWkVoR03SAcgBQVVfeXFMTnRLZXc0SHdENWV4SFpvQTE3UW5zU1lDcEl0WXNTVlo1TWhfT2dWZk8zM3dLWUV6SG8ySUc2OE1CWlZmalRaaWxVeDYxYjYzYTh1T0pURHJMb1F1NVd6X3pLRkUzZzZtZUlTTG1ycERxQ2l3ZS1RWDYtSjFkaG9mQkt4ZTI3UHhhcnJaQVZadWk4QU1ZU3pfWE9xLXZUeFYzOUxqR21pWmJCeWlsWkVuNExheHdPaHpNMXVhSXhuMUY0NHFQSU5SaFE?oc=5,Gemapos,2026-02-24 05:16:47,"Pemprov DKI Setop Izin Lapangan Padel di Kawasan Hunian, Operasional Diperketat - Gemapos.id&nbsp;&nbsp;Gemapos",padel sport,google_news_7d,"Pemprov DKI Setop Izin Lapangan Padel di Kawasan Hunian, Operasional Diperketat - Gemapos.id&nbsp;&nbsp;Gemapos"
"Usai Ramai Diprotes Warga, Ini Aturan Baru Lapangan Padel di Jakarta - law-justice.co",https://news.google.com/rss/articles/CBMirwFBVV95cUxPTFFIczVGNXlUSmpSWm94cUZMZ1VRa3FnMHhGVmpKSkV2RmNtWmgtQ3I0cXo5Y29QSm5XNTFuNFRCRDZTdzdVQXkwY1dxSFRZaVYtUGxhdmxUcHZXZnpCekViQ2tJRXFqT2FZekJBV3hwYWxMNFgwTHFNQXJVR2lEMGFXVnJidkV1bGptVE45RXhVenFLVkdjcmp1aEJNWXFQYno5UDU2Vmo1czZxbVpj?oc=5,law-justice.co,2026-02-25 05:51:00,"Usai Ramai Diprotes Warga, Ini Aturan Baru Lapangan Padel di Jakarta&nbsp;&nbsp;law-justice.co",padel sport,google_news_7d,"Usai Ramai Diprotes Warga, Ini Aturan Baru Lapangan Padel di Jakarta&nbsp;&nbsp;law-justice.co"
Pemprov DKI Bakal Tertibkan 397 Lapangan di Jakarta - RM.ID,https://news.google.com/rss/articles/CBMinAFBVV95cUxOMVZMRzZUd05KcVBkUW4zTHFma3ZFVTgySDZOZjh2cmx2b09YSmM5RFhXZ25EajRGY0pNVDZZQk5WLXRaSFFXWXlLMkJPaFlZY2FwUmtsVzJQVkp0di1Ea0EtYm4wbTVKNncyemRkMG9PbjlnSkRkVExTNDV0MlJQbGVpOTktMnFCWlFYOTEtcXU4U3h5eUc4bkVVLW0?oc=5,RM.ID,2026-02-24 10:45:00,Pemprov DKI Bakal Tertibkan 397 Lapangan di Jakarta&nbsp;&nbsp;RM.ID,padel sport,google_news_7d,Pemprov DKI Bakal Tertibkan 397 Lapangan di Jakarta&nbsp;&nbsp;RM.ID
"Banyak Dikeluhkan Warga, Pramono akan Tertibkan Jam Operasional Padel - law-justice.co",https://news.google.com/rss/articles/CBMisAFBVV95cUxPTXVmOTN5blpXb28wV0Z5V0pPYllxWko1WDc4NThsOWxaZXJPUEUydkZreXM0WGtGMVQyaDJ1X0dXaXAxZWNhVnhtNFVKUVExbWsya0dRdFlsb0pMZ2tLYzhOYWhKa2g2ZWEyLVdTUVdkZ0E4clRNVlhmSU5mejlzcU9yaFdvblVEajMzSjJicUppdnlwUDU2X05FNnRCUG1ZR2FJWjJJSjI3dTdfM1FsbQ?oc=5,law-justice.co,2026-02-23 05:07:00,"Banyak Dikeluhkan Warga, Pramono akan Tertibkan Jam Operasional Padel&nbsp;&nbsp;law-justice.co",padel sport,google_news_7d,"Banyak Dikeluhkan Warga, Pramono akan Tertibkan Jam Operasional Padel&nbsp;&nbsp;law-justice.co"
"Pramono Bakal Atur Jam Operasional Lapangan Padel, Dekat Rumah Warga Akan Dibatasi - KONTAN",https://news.google.com/rss/articles/CBMitwFBVV95cUxPb283aTdjendWa0ZqYWJyS3BCSWJfT01YZmN1ZE1MVDBsT0l6cXAzdmFGdklsRWJISWRKdEhRU2w4TEFwbDQ2aTkxSHJKUnlWNnJ2djUyQklzd3pmRHFTMS1ENl9lUEYweW5tX1ZYbDRrNkQwQkx1ZmE3clAwSS14SGV3b3FwVXVTNDc1eGhmRnZJV1ZjMmQ5eVVoYm1mQzNoVy1ieTFqUk40YnZLclUxWXM3WlZudVk?oc=5,KONTAN,2026-02-23 04:35:19,"Pramono Bakal Atur Jam Operasional Lapangan Padel, Dekat Rumah Warga Akan Dibatasi&nbsp;&nbsp;KONTAN",padel sport,google_news_7d,"Pramono Bakal Atur Jam Operasional Lapangan Padel, Dekat Rumah Warga Akan Dibatasi&nbsp;&nbsp;KONTAN"
"Ada 397 Lapangan Padel di Jakarta, Pemprov DKI Jakarta Siap Tertibkan Lapangan yang Tidak Punya Izin - Wartakotalive.com",https://news.google.com/rss/articles/CBMi4AFBVV95cUxPQmJMSTlXLTB3UFVSaVJIZ0NQdTY5NTlfYmN4OHBmT19NUGVPQ2sza3dZY1J3Tm1hdFhZakdMYkVnRTZfM2RHU0dYb2NJUlpITmI3NnBrY3hzOUUyUlM3Q0ljZS1VYVVueXZuTVhwSjNKaUFaazNSMmpqcVE0YjFZdEJCcEJ5YjNLVWJyZ1lnM2J0YzM5dVZXc3Itcm9oczBYLU40ZHh6c2ZJWEkzYjZraHF1dDZXSjFqakdhRksxT3BwdmhzY081UERod0ZLRzRlWWdkbFhQTVpRZDhROVF4MA?oc=5,Wartakotalive.com,2026-02-24 05:14:33,"Ada 397 Lapangan Padel di Jakarta, Pemprov DKI Jakarta Siap Tertibkan Lapangan yang Tidak Punya Izin&nbsp;&nbsp;Wartakotalive.com",padel sport,google_news_7d,"Ada 397 Lapangan Padel di Jakarta, Pemprov DKI Jakarta Siap Tertibkan Lapangan yang Tidak Punya Izin&nbsp;&nbsp;Wartakotalive.com"
